Financial Year,Name,Address Line 1,Address Line 2,Suburb,State,Postcode,Lodged on behalf of,Associated Party,Total Receipts,Total Payments,Total Debts,Discretionary Benefits,Capital Contributions
2019-20,1973 Foundation Pty Ltd,GPO Box 1319,,CANBERRA,ACT,2601,,Australian Labor Party (ACT Branch),818559,1320144,829775,0,0
2019-20,281 Sandgate Road Properties Pty Ltd,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,828271,732413,7197890,0,0
2019-20,ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust,141 Gilles Street,,ADELAIDE,SA,5000,,Australian Labor Party (South Australian Branch),62530,49026,1381009,0,0
2019-20,Altum Pty Ltd as Trustee for Altum Property Unit Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,924076,5472664,5197517,0,0
2019-20,Altum Pty Ltd as Trustee for the Altum Head Quarters Trust,PO Box 940,,SPRING HILL,QLD,4004,,Liberal National Party of Queensland,1428496,1428547,0,0,0
2019-20,Animal Justice Foundation Pty Ltd,"Site 111, 3 Powell Rd",,COOGEE,WA,6166,,Animal Justice Party,60000,0,0,0,0
2019-20,ASU - NSW Local Government Clerical Administrative Energy Airlines & Utilities Branch,"Level 7, 321 Pitt Street",,SYDNEY,NSW,2000,,Australian Labor Party (N.S.W. Branch); Country Labor Party,1039221,1007542,43708,0,0
2019-20,ASU Victorian Private Sector Branch,PO Box 447,,CARLTON SOUTH,VIC,3053,,Australian Labor Party (Victorian Branch),2790925,2511603,25815,0,0
2019-20,Australasian Meat Industry Employees Union - Newcastle & Northern Branch,PO Box 2263,,DANGAR,NSW,2309,,Australian Labor Party (N.S.W. Branch),1587456,1443638,32267,0,0
2019-20,Australasian Meat Industry Employees' Union - NSW Branch,62 Prospect Street,,ROSEHILL,NSW,2142,AMIEU NSW Branch,Australian Labor Party (N.S.W. Branch),1429857,1610653,109226,0,0
2019-20,Australasian Meat Industry Employees' Union - QLD Branch,Level 1,39 Lytton Road,EAST BRISBANE,QLD,4169,,Australian Labor Party (State of Queensland),2169310,2036226,0,0,0
2019-20,Australasian Meat Industry Employees Union SA & WA Branch,227 Henley Beach Road,,TORRENSVILLE,SA,5031,Australasian Meat Industry Employees' Union South and Western Australia Branch,Australian Labor Party (South Australian Branch); Australian Labor Party (Western Australian Branch),752969,723670,95739,0,0
2019-20,Australasian Meat Industry Employees Union Victorian Branch,"Level 2, 62 Lygon Street",,CARLTON,VIC,3053,,Australian Labor Party (Victorian Branch),1582558,1433748,61924,0,0
2019-20,Australian Federated Union of Locomotive Employees,41 Peel Street,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),826898,614502,51813,49668,0
2019-20,Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch,PO Box 3272,,SOUTH BRISBANE,QLD,4101,Queensland Together Branch,Australian Labor Party (State of Queensland),16961229,15238963,869049,0,0
2019-20,"Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch",PO Box 3347,,SOUTH BRISBANE,QLD,4101,,Australian Labor Party (State of Queensland),7272568,7063800,370145,0,0
2019-20,Australian Rail Tram & Bus Industry Union SA/NT,PO Box 195,,WOODVILLE,SA,5011,,Australian Labor Party (South Australian Branch),758287,725633,0,0,0
2019-20,"Australian Rail Tram & Bus Industry Union, Queensland Branch",Level 1,457 Upper Edward Street,BRISBANE,QLD,4000,"Australian Rail, Tram and Bus Industry Union, Queensland Branch",Australian Labor Party (State of Queensland),4368019,4109912,275438,0,0
