"Financial Year","Return Type","Name","Creditor Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Amount owed","Financial or Non-financial institution"
"2019-20","Associated Entity Return","1973 Foundation Pty Ltd","Australian Labor Party (ACT Branch)","GPO Box 1319","","CANBERRA","ACT","2601","728730","Non-financial"
"2019-20","Associated Entity Return","1973 Foundation Pty Ltd","Australian Tax Office","26 Narellan St","","CANBERRA","ACT","2601","76484","Non-financial"
"2019-20","Associated Entity Return","1973 Foundation Pty Ltd","Strata Plan 83068","49 Queens Road","","FIVE DOCK","NSW","2046","17228","Non-financial"
"2019-20","Associated Entity Return","281 Sandgate Road Properties Pty Ltd","Altum Pty Ltd","PO Box 940","","Spring Hill","QLD","4004","135000","Non-financial"
"2019-20","Associated Entity Return","281 Sandgate Road Properties Pty Ltd","Liberal National Party","PO Box 940","","Spring Hill","QLD","4004","6760115","Non-financial"
"2019-20","Associated Entity Return","281 Sandgate Road Properties Pty Ltd","LNP Nominees Pty Ltd ATF 6 St Pauls Tce Trust","PO Box 940","","Spring Hill","QLD","4004","260000","Non-financial"
"2019-20","Political Campaigner Return","Advance Australia","Whitestone Strategic Pty Ltd","level 26, 1 Bligh St","","Sydney","NSW","2000","23605","Non-financial"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","Australian Taxation Office","GPO Box 9990","","SYDNEY","NSW","2001","308906","Non-financial"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","Department of Education","Locked Bag 7013","","BATHURST","NSW","2795","47551","Non-financial"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","Generation-E Productivity Solutions","580 Church Street","","RICHMOND ","VIC","3121","21909","Non-financial"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","Huon Curtis","57 Calder Road","","DARLINGTON","NSW","2008","22000","Non-financial"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","National Australia Bank","800 Bourke Street","","DOCKLANDS","VIC","3008","17827","Financial"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","Office of State Revenue","Locked Bag 978","","NORTH SYDNEY","NSW","2060","26145","Non-financial"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","Sharepoint Gurus","Suite 13, 39 Phillip Street","","NEWTOWN","NSW","2042","17600","Non-financial"
"2019-20","Political Campaigner Return","AEU NSW Teachers Federation","Sunsuper Clearing House","GPO Box 2924","","BRISBANE","QLD","4001","147905","Non-financial"
"2019-20","Associated Entity Return","ALP Holdings Pty Ltd as Trustee of the ALP Investment Trust","Australian Labor Party South Australian Branch","141 Gilles Street","","ADELAIDE","SA","5000","1381009","Non-financial"
"2019-20","Associated Entity Return","Altum Pty Ltd as Trustee for Altum Property Unit Trust","LNP Nominees Pty Ltd ATF 6 St Pauls Tce Trust","PO Box 940","","Spring Hill","QLD","4004","5191900","Non-financial"
"2019-20","Political Party Return","Animal Justice Party","Australian Taxation Office","1/32 Martin Place","","SYDNEY SOUTH","NSW","2000","17616","Non-financial"
"2019-20","Associated Entity Return","ASU Victorian Private Sector Branch","QuickSuper(AustralianSuper)","Level 26/50 Lonsdale St","","MELBOURNE","VIC","3000","18715","Non-financial"
"2019-20","Associated Entity Return","Australasian Meat Industry Employees Union - Newcastle & Northern Branch","Australian Tax Office","Locked Bag 1703","","Penrith","NSW","2750","23390","Non-financial"
"2019-20","Associated Entity Return","Australasian Meat Industry Employees' Union - NSW Branch","Ato","L1 32 Martin Place ","GPO box 990","SYDNEY","NSW","2000","54606","Non-financial"
"2019-20","Associated Entity Return","Australasian Meat Industry Employees Union SA & WA Branch","AMIEU - New South Wales Branch","62 Prospect Street","","ROSEHILL","NSW","2142","15000","Non-financial"
"2019-20","Associated Entity Return","Australasian Meat Industry Employees Union SA & WA Branch","AMIEU - Newcastle and Northern Branch","34 Union Street","","NEWCASTLE WEST","NSW","2302","15000","Non-financial"
"2019-20","Associated Entity Return","Australasian Meat Industry Employees Union SA & WA Branch","AMIEU - Victoria Branch","62 Lygon Street","","CARLTON SOUTH","VIC","3053","15000","Non-financial"
"2019-20","Associated Entity Return","Australasian Meat Industry Employees Union SA & WA Branch","Australasian Meat Industry Employees Union Queensland Branch","39 Lytton Rd","","EAST BRISBANE","QLD","4169","15000","Non-financial"
"2019-20","Associated Entity Return","Australasian Meat Industry Employees Union Victorian Branch","Australian Tax Office","Locked Bag 1936","","ALBURY","NSW","2640","36055","Non-financial"
"2019-20","Political Campaigner Return","Australian Automobile Association","Australian Taxation Office","26 Narellan St,","","Canberra","ACT","2601","19848","Non-financial"
"2019-20","Political Campaigner Return","Australian Automobile Association","CQ University Australia","554-700 Yaamba Rd","","Norman Gardens","QLD","4701","16511","Non-financial"
"2019-20","Political Campaigner Return","Australian Automobile Association","Deloitte Financial Advisory Pty Ltd","8 Brindabella Circuit","","Canberra ","ACT","2601","33348","Non-financial"
"2019-20","Political Campaigner Return","Australian Automobile Association","ED Digital Pty Ltd","14 Kendall Ln","","Canberra","ACT","2601","42863","Non-financial"
"2019-20","Political Campaigner Return","Australian Automobile Association","Meltwater Australia Pty Ltd","LEVEL 9, 50 CARRINGTON STREET ","","Sydney","NSW","2000","24750","Non-financial"
"2019-20","Political Campaigner Return","Australian Automobile Association","National Roads and Motorist Association","9A York Street","","Sydney","NSW","2000","21881","Non-financial"
"2019-20","Political Campaigner Return","Australian Automobile Association","Royal Automobile Association of South Australia","GPO Box 1499","","ADELAIDE","SA","5001","78927","Non-financial"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","ATO","Locked Bag 1793","","Penith","NSW","1793","119846","Non-financial"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","KPMG","PO Box 7396","","Canberra Business Centre","ACT","2610","32500","Non-financial"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","NSW Business Chamber","140 Arthur Street","","North Sydney","NSW","2060","96052","Non-financial"
"2019-20","Political Campaigner Return","Australian Chamber of Commerce and Industry","Victorian Chamber of Commerce and Industry","150 Collins Street","","Melbourne","VIC","3000","69066","Non-financial"
"2019-20","Political Party Return","Australian Citizens Party","CEC AUSTRALIA (SERVICES) PTY LTD","595 Sydney Rd","","Coburg","VIC","3058","813377","Non-financial"
"2019-20","Political Party Return","Australian Citizens Party","Warwick Hunt","25 Willowbank Place","","GERRINGONG","NSW","2534","142646","Non-financial"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","ACTU Education Inc","Level 4","365 Queen St","MELBOURNE","VIC","3000","668771","Non-financial"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","ACTU Property Pty Ltd","Level 6","365 Queen St","MELBOURNE","VIC","3000","164703","Non-financial"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","Australian Taxation Office","GPO Box 9990","","MELBOURNE","VIC","3000","197751","Non-financial"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","Construction, Forestry, Maritime, Mining & Energy Union (CFMMEU) (National Office)","Level 1","165 Bouverie Street","CARLTON","VIC","3053","79750","Non-financial"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","Ethan Group","13-15 Lyon Park Road","","NORTH RYDE","NSW","2113","18350","Non-financial"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","Reachtel - Equifax","PO Box 13294 George St","","BRISBANE","QLD","4001","34354","Non-financial"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","State Revenue Office Victoria","Southern Cross Tower, 121 Exhibition St","","MELBOURNE","VIC","3000","39297","Non-financial"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","u-Communications Pty Ltd","Level 5","365 Queen Street","MELBOURNE","VIC","3000","204583","Non-financial"
"2019-20","Political Campaigner Return","Australian Council of Trade Unions","uPoint Pty Ltd","Level 5","365 Queen Street","MELBOURNE","VIC","3000","22000","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","AEU Education Services Incorporated","121 Trenerry Crescent","","ABBOTSFORD","VIC","3067","15523","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Australian taxation Office","Locked Bag 1936","","Albury","NSW","1936","2457382","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Australian Taxation Office","Locked Bag 1936","","Albury","NSW","1936","97273","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Australian Taxation Office","GPO Box 9845","","ADELAIDE","SA","5000","249802","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Australian Taxation Office","GPO Box 9845","","Melbourne ","VIC","3000","48692","Non-financial"
"2019-20","Political Campaigner Return","Australian Education Union ","Australian Taxation Office","2 Constitution Office","","CANBERRA","ACT","2600","111476","Non-financial"
