"Financial Year","Name","Address Line 1","Address Line 2","Suburb","State","Postcode","Party Group","Total Receipts","Total Payments","Total Debts","Total Discretionary Benefits"
"2019-20","Animal Justice Party","PO Box Q1688","","QUEEN VICTORIA BUILDING","NSW","1230","","1374791","1172670","40922","21224"
"2019-20","Australia First Party (NSW) Incorporated","PO Box 593","","ROCKDALE","NSW","2216","","27758","16358","0","0"
"2019-20","Australian Affordable Housing Party","1/212 Liverpool Road","","ASHFIELD","NSW","2131","","1700","211","0","0"
"2019-20","Australian Better Families","PO Box 3831","","ROBINA TOWN CENTRE","QLD","4230","","15126","15572","0","0"
"2019-20","Australian Christians","PO Box 1077","","OSBORNE PARK","WA","6916","","226615","175768","0","0"
"2019-20","Australian Citizens Party","PO Box 376","","COBURG","VIC","3058","","2147894","2085858","966128","0"
"2019-20","Australian Democrats","PO Box 547","","GLENELG","SA","5045","","27089","5475","0","0"
"2019-20","Australian Federation Party","53 Grand Ridge West","","MIRBOO NORTH","VIC","3871","","8278","5395","0","0"
"2019-20","Australian Greens","PO BOX 1108","","CANBERRA","ACT","2601","The Greens","3014557","3732322","399035","272353"
"2019-20","Australian Greens (South Australia)","7/291 Angas Street","","ADELAIDE","SA","5000","The Greens","307384","285476","18435","0"
"2019-20","Australian Greens, Australian Capital Territory Branch","GPO Box 2019","","CANBERRA CITY","ACT","2601","The Greens","548828","358854","64651","0"
"2019-20","Australian Greens, Northern Territory Branch","PO Box 421","","NIGHTCLIFF","NT","0814","The Greens","93624","22873","0","0"
"2019-20","Australian Greens, Tasmanian Branch","GPO Box 1132","","HOBART","TAS","7001","The Greens","446938","195347","9777","0"
"2019-20","Australian Labor Party (ACT Branch)","GPO Box 3065","","CANBERRA","ACT","2601","Australian Labor Party","2180478","1700672","631635","0"
"2019-20","Australian Labor Party (ALP)","PO Box 6222","","KINGSTON","ACT","2604","Australian Labor Party","9376356","8301257","2894840","1163605"
"2019-20","Australian Labor Party (N.S.W. Branch)","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","13936682","13959838","300359","0"
"2019-20","Australian Labor Party (Northern Territory) Branch","GPO Box 2026","","DARWIN","NT","0801","Australian Labor Party","1028273","950512","256452","0"
"2019-20","Australian Labor Party (South Australian Branch)","141 Gilles Street","","ADELAIDE","SA","5000","Australian Labor Party","2050346","1790746","3814","0"
"2019-20","Australian Labor Party (State of Queensland)","PO Box 5032","","WEST END","QLD","4101","Australian Labor Party","7781123","8165192","159058","0"
"2019-20","Australian Labor Party (Tasmanian Branch)","GPO Box 1115","","HOBART","TAS","7001","Australian Labor Party","873161","514985","8093","0"
"2019-20","Australian Labor Party (Victorian Branch)","Locked Bag 3240","","MELBOURNE","VIC","3001","Australian Labor Party","9558911","4861584","160713","0"
"2019-20","Australian Labor Party (Western Australian Branch)","PO Box 8117","","PERTH BUSINESS CENTRE","WA","6849","Australian Labor Party","3923462","2724794","130026","0"
"2019-20","Australian People's Party","PO Box 5382","","PINEWOOD","VIC","3149","","0","0","0","0"
"2019-20","Australian Progressives","24B Harpur Place","","GARRAN","ACT","2605","","5345","3767","21290","0"
"2019-20","Australian Workers Party","P.O Box 4062","","WINMALEE","NSW","2777","","0","0","0","0"
"2019-20","Centre Alliance","PO Box 3192","","UNLEY","SA","5061","","169927","75675","0","0"
"2019-20","Child Protection Party","PO Box 582","","ELIZABETH","SA","5112","","81","276","0","0"
"2019-20","Christian Democratic Party (Fred Nile Group)","PO Box 8456","","PARRAMATTA","NSW","2150","Christian Democratic Party (Fred Nile Group)","1310397","685697","0","0"
"2019-20","Climate Emergency Action Alliance: Vote Planet","254 McLeod Lane","","MANSFIELD","VIC","3722","","550","0","0","0"
"2019-20","Country Labor Party","PO Box K408","","HAYMARKET","NSW","1240","Australian Labor Party","4358580","3808418","1949245","0"
"2019-20","Country Liberal Party (NT)","PO Box 4194","","DARWIN","NT","0801","","429768","605927","21198","0"
"2019-20","Democratic Labour Party","PO Box 678","","CIVIC SQUARE","ACT","2608","Democratic Labor Party","260","0","0","0"
"2019-20","Democratic Labour Party - Queensland Branch","PO Box 3086","","CHERMSIDE WEST","QLD","4032","Democratic Labor Party","3594","1510","0","0"
"2019-20","Democratic Labour Party - Victorian Branch","GPO Box 1402","","MELBOURNE","VIC","3001","Democratic Labor Party","67614","52184","0","0"
"2019-20","Democratic Labour Party - WA Branch","PO Box 1119","","WILLAGEE","WA","6156","Democratic Labor Party","240","500","0","0"
"2019-20","Democratic Labour Party NSW Branch","70 Liverpool Road","","BURWOOD  HEIGHTS","NSW","2136","Democratic Labor Party","2600","2165","0","0"
"2019-20","Derryn Hinch's Justice Party","PO Box 33018 LPO Domain","","MELBOURNE","VIC","3004","","88925","96292","0","0"
"2019-20","Health Australia Party","PO Box 695","","GISBORNE","VIC","3437","","9229","3129","10633","0"
"2019-20","Help End Marijuana Prohibition (HEMP) Party","PO Box 20177","","NIMBIN","NSW","2480","","0","400","0","0"
"2019-20","Independents CAN","1/53 Stuart Street","","MULLUMBIMBY","NSW","2482","","7500","10936","0","0"
"2019-20","Informed Medical Options Party","PO Box 3322","","WEST KEMPSEY","NSW","2440","","23314","7440","32301","0"
"2019-20","Jacqui Lambie Network","PO Box 264","","Burnie","TAS","7320","","171273","123897","0","0"
"2019-20","Katter's Australian Party (KAP)","PO Box 1022","","TOWNSVILLE","QLD","4810","","425982","258006","16120","0"
"2019-20","Liberal Democratic Party","Level 1","203-205 Blackburn Road","MOUNT WAVERLEY","VIC","3149","","98591","27812","0","0"
"2019-20","Liberal Democratic Party (ACT Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","404","0","0","0"
"2019-20","Liberal Democratic Party (NSW Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","3981","1501","0","0"
"2019-20","Liberal Democratic Party (QLD Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","3166","600","0","0"
"2019-20","Liberal Democratic Party (SA Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","1","0","0","0"
"2019-20","Liberal Democratic Party (Victoria Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","303598","178619","0","0"
"2019-20","Liberal Democratic Party (WA Branch)","PO Box 636","","DRUMMOYNE","NSW","1470","","0","3777","0","0"
"2019-20","Liberal National Party of Queensland","PO Box 940","","SPRING HILL","QLD","4004","Liberal","10393589","10667314","65548","0"
"2019-20","Liberal Party (W.A. Division) Inc","PO Box 49","","WEST PERTH","WA","6872","Liberal","3208879","2876043","64825","0"
"2019-20","Liberal Party of Australia","PO Box 6004","","KINGSTON","ACT","2604","Liberal","13151626","10288063","1810326","1175577"
"2019-20","Liberal Party of Australia - ACT Division","PO Box 66","","DEAKIN WEST","ACT","2600","Liberal","985081","1059138","0","0"
"2019-20","Liberal Party of Australia - Tasmanian Division","GPO Box 469","","HOBART","TAS","7001","Liberal","1934934","1814248","36715","0"
"2019-20","Liberal Party of Australia (S.A. Division)","GPO Box 20","","ADELAIDE","SA","5001","Liberal","3067963","3010948","80161","0"
"2019-20","Liberal Party of Australia (Victorian Division)","Level 12, 257 Collins Street","","MELBOURNE","VIC","3000","Liberal","13443793","11637740","4435539","0"
"2019-20","Liberal Party of Australia, NSW Division","Locked Bag 2","","KINGS CROSS","NSW","1340","Liberal","10815404","11211513","3752913","0"
"2019-20","Love Australia or Leave","PO Box 10113","","RASMUSSEN","QLD","4815","","961","386","5000","0"
"2019-20","National Party of Australia","PO Box 6190","","KINGSTON","ACT","2604","The Nationals","1765557","1312803","80723","0"
"2019-20","National Party of Australia - N.S.W.","GPO Box 4558","","SYDNEY","NSW","2001","The Nationals","8066718","5623487","1035099","0"
"2019-20","National Party of Australia - Victoria","Suite 908, Level 9","343 Little Collins Street","MELBOURNE","VIC","3000","The Nationals","1737290","1607020","780966","0"
"2019-20","National Party of Australia (S.A.) Inc.","5 Maple Court","","OAKBANK","SA","5243","The Nationals","4423","4012","0","0"
"2019-20","National Party of Australia (WA) Inc","PO Box 1418","","WEST PERTH","WA","6872","The Nationals","853577","456819","49623","0"
"2019-20","Non-Custodial Parents Party (Equal Parenting)","PO Box 97","","DOUGLAS PARK","NSW","2569","","1","0","0","0"
"2019-20","Online Direct Democracy - (Empowering the People!)","70 Carrington Pde","","CURL CURL","NSW","2096","","10916","6500","95231","0"
"2019-20","Pauline Hanson's One Nation","PO Box 136","","PINKENBA","QLD","4008","One Nation","5782105","3900452","241418","0"
"2019-20","Pirate Party Australia","PO Box 385","","FIGTREE","NSW","2525","","4501","2762","0","0"
"2019-20","Queensland Greens","PO Box 2335","","MILTON","QLD","4064","The Greens","2832772","1626248","67927","0"
"2019-20","Reason Australia","PO Box 621","","COLLINS STREET WEST","VIC","8007","","100091","99955","8738","0"
"2019-20","Republican Party of Australia","PO Box 843","","CASTLE HILL","NSW","1765","","33164","32808","0","0"
"2019-20","Science Party","49 Harrington St","","ENMORE","NSW","2042","","16434","15624","0","0"
"2019-20","Secular Party of Australia","PO Box 6004","","MELBOURNE","VIC","8008","","4215","4216","0","0"
"2019-20","Seniors United Party of Australia","D5 Broadlands Estate","9 Milpera Road","GREEN POINT","NSW","2251","","2579","2672","0","0"
"2019-20","Shooters, Fishers and Farmers Party","PO Box 515","","ASHFIELD","NSW","1800","","187694","86367","30994","0"
"2019-20","Socialist Alliance","PO Box 114","","BROADWAY","NSW","2007","","71400","53164","228","0"
"2019-20","Socialist Equality Party","PO BOX 574","","STRAWBERRY HILLS","NSW","2012","","357992","352926","0","0"
"2019-20","Sustainable Australia Party - Stop Overdevelopment / Corruption","PO Box 575","","CROWS NEST","NSW","1585","","428377","425451","0","0"
"2019-20","The Australian Greens - Victoria","GPO Box 4589","","MELBOURNE","VIC","3001","The Greens","4433586","4025816","53849","0"
"2019-20","The Australian Mental Health Party","PO Box 1505","","APPLECROSS","WA","6953","","800","297","0","0"
"2019-20","The Great Australian Party","PO Box 8242","","SOUTH PERTH","WA","6151","","224490","69158","10473","0"
"2019-20","The Greens (WA) Inc","91/215 Stirling Street","","PERTH","WA","6000","The Greens","1607810","523818","0","0"
"2019-20","The Greens NSW","PO Box 48","","BROADWAY","NSW","2007","The Greens","5885309","2659643","146380","0"
