"Financial Year","ClientFileId","Name","ABN","ACN","Address Line 1","Address Line 2","Suburb","State","Postcode","Lodged on behalf of","Total Expenditure","1*","2*","3*","4*","5*","Total Gifts Received"
"2019-20","15605","Australian Christian Lobby","40 075 120 517","075 120 517","4 Campion Street","","DEAKIN","ACT","2600","","5480","N/A","N/A","N/A","N/A","N/A","0"
"2019-20","20499","Australian Conservation Foundation Incorporated","22007498482","","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","0","N/A","N/A","N/A","N/A","N/A","0"
"2019-20","18736","Australian Rail Tram and Bus Industry Union New South Wales Branch","55 090 785 801","","Level 4, 321 Pitt Street","","SYDNEY","NSW","2000","","30720","N/A","N/A","N/A","N/A","N/A","0"
"2019-20","38546","Bob Brown Foundation Inc","51634785002","","116 Bathurst St","Level 4","Hobart","TAS","7000","","231172","N/A","N/A","N/A","N/A","N/A","415000"
"2019-20","37940","Catholic Education Melbourne","85176448204","","James Goold House","228 Victoria Parade","EAST MELBOURNE","VIC","3002","","0","N/A","N/A","N/A","N/A","N/A","0"
"2019-20","18748","CEPU - Electrical Division QLD & NT ","80450640455","","PO Box 3520","","SOUTH BRISBANE","QLD","4101","","120889","N/A","N/A","N/A","N/A","N/A","27500"
"2019-20","40549","Christian Schools Australia Limited","49 092 580 124","092 580 124","PO Box 3069","","Manuka","ACT","2603","","63085","N/A","N/A","N/A","N/A","N/A","25000"
"2019-20","29623","Health Services Union, Tasmania Branch","80 085 253 953","","PO Box 635","","NORTH HOBART","TAS","7002","","0","N/A","N/A","N/A","N/A","N/A","0"
"2019-20","36762","Smart Energy Council (previously Australian Solar Council)","32006824148","","34 Anderson Street","","CHIFLEY","ACT","2606","","0","N/A","N/A","N/A","N/A","N/A","0"
"2019-20","19816","The Australian Workers' Union of Employees Queensland","54 942 536 069","","GPO Box 88","","BRISBANE","QLD","4001","","119745","N/A","N/A","N/A","N/A","N/A","0"
"2019-20","37389","The Sunrise Project Australia Limited","65 159 324 697","159 324 697","L2, 91 Reservoir St","","SURRY HILLS","NSW","2010","","0","N/A","N/A","N/A","N/A","N/A","0"
"2019-20","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","GPO Box 528","","SYDNEY","NSW","2001","","0","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","40874","Australian Association of Christian Schools","59 125 196 929","125 196 929","PO BOX 770","","DICKSON","ACT","2602","","24750","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","15605","Australian Christian Lobby","40 075 120 517","075 120 517","4 Campion Street","","DEAKIN","ACT","2600","","61142","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","20499","Australian Conservation Foundation Incorporated","22007498482","","Level 1,","60 Leicester Street","CARLTON","VIC","3053","","472121","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","40337","Australian Marine Conservation Society","53409718351","","PO Box 5815","","West End","QLD","4101","","37261","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","19885","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","97853552816","","PO Box 3272","","SOUTH BRISBANE","QLD","4101","","81081","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","38543","Australian Nursing and Midwifery Federation SA","95969485175","","191 Torrens Rd","","RIDLEYTON","SA","5008","","170295","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","18736","Australian Rail Tram and Bus Industry Union New South Wales Branch","55 090 785 801","","Level 4, 321 Pitt Street","","SYDNEY","NSW","2000","","16335","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","40595","Australian Services Union Western Australian Branch","65118845644","","PO Box 8208","","PERTH BC","WA","6849","","57907","N/A","N/A","N/A","N/A","N/A","0"
"2018-19","40851","Australian Taxpayers' Alliance","72 153 797 294","153 797 294","1 Kings Cross Road","","DARLINGHURST","NSW","2010","","25620","N/A","N/A","N/A","N/A","N/A","0"
