"Event","Media ID","Name","Business Name","Return Type","Advertiser","Advertiser Type","Date Run","Amount"
"2004 Federal Election","4134","100.3FM (2NEB-FM)","New England Broadcasters Pty Ltd","Broadcaster","National Party of Australia - N.S.W.","Party","27/09/2004","1689"
"2004 Federal Election","4134","100.3FM (2NEB-FM)","New England Broadcasters Pty Ltd","Broadcaster","National Party of Australia - N.S.W.","Party","02/10/2004","1936"
"2004 Federal Election","861","100.9 Sea FM","Tasmanian FM Stereo Pty Ltd","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","06/10/2004","2240"
"2004 Federal Election","861","100.9 Sea FM","Tasmanian FM Stereo Pty Ltd","Broadcaster","Forest Industries Association of Tasmania","Third Party","04/10/2004","1386"
"2004 Federal Election","861","100.9 Sea FM","Tasmanian FM Stereo Pty Ltd","Broadcaster","Liberal Party of Australia - Tasmanian Division","Party","02/10/2004","1925"
"2004 Federal Election","861","100.9 Sea FM","Tasmanian FM Stereo Pty Ltd","Broadcaster","UNGER, Paul Thomas","Candidate","05/10/2004","330"
"2004 Federal Election","4309","1008 AM","Tasradio Pty Ltd","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","02/10/2004","1452"
"2004 Federal Election","5080","101.7 Sea FM Burnie","Tasmanian Radio Network","Broadcaster","Australian Labor Party (Tasmanian Branch)","Party","06/10/2004","677"
"2004 Federal Election","5080","101.7 Sea FM Burnie","Tasmanian Radio Network","Broadcaster","Liberal Party of Australia - Tasmanian Division","Party","02/10/2004","420"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","30/09/2004","36720"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","CAMERON, Ross Alexander","Candidate","30/09/2004","890"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","Construction Forestry Mining Energy Union","Third Party","30/09/2004","16400"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","Liberal Party of Australia, NSW Division","Party","30/09/2004","3955"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","Liberal Party of Australia, NSW Division","Party","30/09/2004","6580"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","Liberal Party of Australia, NSW Division","Party","30/09/2004","9400"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","Liberal Party of Australia, NSW Division","Party","30/09/2004","50787"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","NSW Teachers Federation","Third Party","30/09/2004","7605"
"2004 Federal Election","4377","101.9 Sea FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","HEDBERG, Lars Eric","Candidate","27/09/2004","1048"
"2004 Federal Election","4377","101.9 Sea FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","TRUSS, Warren Errol","Candidate","27/09/2004","1953"
"2004 Federal Election","4320","102.3 3BA","Radio Ballarat Pty Ltd","Broadcaster","Australian Democrats Victorian Division","Party","04/10/2004","900"
"2004 Federal Election","4320","102.3 3BA","Radio Ballarat Pty Ltd","Broadcaster","Australian Greens","Party","02/10/2004","640"
"2004 Federal Election","4320","102.3 3BA","Radio Ballarat Pty Ltd","Broadcaster","Australian Labor Party (Victorian Branch)","Party","15/09/2004","2295"
"2004 Federal Election","5090","102.5 Classic Rock","Rich Rivers Radio Pty Ltd","Broadcaster","BURBIDGE, John West","Candidate","30/09/2004","132"
"2004 Federal Election","5090","102.5 Classic Rock","Rich Rivers Radio Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","02/10/2004","1128"
"2004 Federal Election","5090","102.5 Classic Rock","Rich Rivers Radio Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","02/10/2004","2277"
"2004 Federal Election","5090","102.5 Classic Rock","Rich Rivers Radio Pty Ltd","Broadcaster","The Greens NSW","Party","26/09/2004","1069"
"2004 Federal Election","5052","102.7 4CA FM","Macquarie Regional Radioworks","Broadcaster","JOHNSTON, Hetty Margarette","Candidate","23/09/2004","68"
"2004 Federal Election","5052","102.7 4CA FM","Macquarie Regional Radioworks","Broadcaster","Liberal Party of Australia - Queensland Division","Party","19/09/2004","68"
"2004 Federal Election","5052","102.7 4CA FM","Macquarie Regional Radioworks","Broadcaster","Liberal Party of Australia - Queensland Division","Party","01/10/2004","68"
"2004 Federal Election","5079","103.1 Power FM","Radio Ballarat Pty Ltd","Broadcaster","Australian Greens","Party","02/10/2004","640"
"2004 Federal Election","5079","103.1 Power FM","Radio Ballarat Pty Ltd","Broadcaster","Australian Labor Party (Victorian Branch)","Party","15/09/2004","2295"
"2004 Federal Election","5034","103.5 Hot FM","Macquarie Regional Radioworks","Broadcaster","Liberal Party of Australia - Queensland Division","Party","01/09/2004","68"
"2004 Federal Election","5034","103.5 Hot FM","Macquarie Regional Radioworks","Broadcaster","Liberal Party of Australia - Queensland Division","Party","19/09/2004","68"
"2004 Federal Election","5034","103.5 Hot FM","Macquarie Regional Radioworks","Broadcaster","Liberal Party of Australia - Queensland Division","Party","01/10/2004","68"
"2004 Federal Election","4447","103.5 Mix FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","HEDBERG, Lars Eric","Candidate","01/10/2004","1056"
"2004 Federal Election","4447","103.5 Mix FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","National Party of Australia (Queensland)","Party","27/09/2004","1981"
"2004 Federal Election","4447","103.5 Mix FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","Unendorsed - JOHNSTON, Hetty","Senate Group","20/09/2004","377"
"2004 Federal Election","4447","103.5 Mix FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","Unendorsed - JOHNSTON, Hetty","Senate Group","20/09/2004","851"
"2004 Federal Election","4447","103.5 Mix FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","UNGER, Paul Thomas","Candidate","30/09/2004","33"
"2004 Federal Election","4447","103.5 Mix FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","UNGER, Paul Thomas","Candidate","01/10/2004","132"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","21/09/2004","3300"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","22/09/2004","3300"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","23/09/2004","3300"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","27/09/2004","0"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","28/09/2004","550"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","29/09/2004","4400"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","30/09/2004","4950"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","01/10/2004","0"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","03/10/2004","4400"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","04/10/2004","4400"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","05/10/2004","4400"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Australian Labor Party (N.S.W. Branch)","Party","06/10/2004","4400"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","29/09/2004","5874"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","30/09/2004","5874"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","01/10/2004","6461"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","Liberal Party of Australia, NSW Division","Party","02/10/2004","1174"
