"Event","Media ID","Name","Business Name","Return Type","Address Line 1","Address Line 2","Suburb","State","Postcode","Total Amount"
"2004 Federal Election","5097","1 ART","Artsound FM","Broadcaster","PO Box 87","","CURTIN","ACT","2605","0"
"2004 Federal Election","4134","100.3FM (2NEB-FM)","New England Broadcasters Pty Ltd","Broadcaster","PO Box 270","","ARMIDALE","NSW","2350","3625"
"2004 Federal Election","861","100.9 Sea FM","Tasmanian FM Stereo Pty Ltd","Broadcaster","GPO Box 1800","","HOBART GPO PRIVATE BOXES","TAS","7001","5881"
"2004 Federal Election","5281","100.9FM","WA Aboriginal Media Association","Broadcaster","PO Box 521","","MIRRABOOKA PRIVATE BOXES","WA","6941","0"
"2004 Federal Election","4309","1008 AM","Tasradio Pty Ltd","Broadcaster","GPO Box 572","","HOBART GPO","TAS","7001","1452"
"2004 Federal Election","4811","101.7 2DRY FM","Broken Hill FM Association Inc","Broadcaster","PO Box 326","","BROKEN HILL","NSW","2880","0"
"2004 Federal Election","5080","101.7 Sea FM Burnie","Tasmanian Radio Network","Broadcaster","GPO Box 1800","","HOBART GPO","TAS","7001","1097"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","3 Byfield St","","NORTH RYDE","NSW","2113","132337"
"2004 Federal Election","4377","101.9 Sea FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","PO Box 143","","MARYBOROUGH","QLD","4650","3001"
"2004 Federal Election","4320","102.3 3BA","Radio Ballarat Pty Ltd","Broadcaster","PO Box 360","","BALLARAT PRIVATE BOXES","VIC","3353","3835"
"2004 Federal Election","5090","102.5 Classic Rock","Rich Rivers Radio Pty Ltd","Broadcaster","PO Box 312","","DENILIQUIN","NSW","2710","4606"
"2004 Federal Election","5052","102.7 4CA FM","Macquarie Regional Radioworks","Broadcaster","Locked Bag 800","","CAIRNS","QLD","4870","204"
"2004 Federal Election","5079","103.1 Power FM","Radio Ballarat Pty Ltd","Broadcaster","PO Box 360","","BALLARAT PRIVATE BOXES","VIC","3353","2935"
"2004 Federal Election","5034","103.5 Hot FM","Macquarie Regional Radioworks","Broadcaster","Locked Bag 800","","CAIRNS","QLD","4870","204"
"2004 Federal Election","4447","103.5 Mix FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","PO Box 143","","MARYBOROUGH","QLD","4650","4430"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","GPO Box 22","","SYDNEY","NSW","2000","107080"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","C/o CDU","","DARWIN","NT","0800","6187"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","GPO Box 4442","","SYDNEY GPO PRIVATE BOXES","NSW","2001","81057"
"2004 Federal Election","4176","105.1 2GZ FM - Orange","Macquarie Regional Radioworks Pty Ltd","Broadcaster","PO Box 1785","","ORANGE","NSW","2800","4286"
"2004 Federal Election","5362","105.9FM 2NVR","Nambucca Valley Radio 2NVR","Broadcaster","PO Box 69","","BOWRAVILLE","NSW","2449","0"
"2004 Federal Election","5237","107.3 FM","Tas Radio Pty Ltd","Broadcaster","GPO Box 572","","HOBART GPO","TAS","7001","1678"
"2004 Federal Election","5164","107.3 Life FM","Christian Air Broadcasters","Broadcaster","PO Box 948","","SOUTHPORT","QLD","4215","550"
