"Event","Return Type (Candidate/Senate Group)","Name","Total Electoral Expenditure","Broadcasting Cost","Publishing Cost","Display Ad Cost","Direct Mailing","Campaign Material Costs","Opinion Polls"
"2020 Groom by-election","Candidate","FARQUHARSON, Craig Stuart","5491","0","0","0","0","0","0"
"2020 Groom by-election","Candidate","HAMILTON, Garth Russell","0","0","0","0","0","0","0"
"2020 Groom by-election","Candidate","JEPHCOTT, Sandra Barbara","0","0","0","0","0","0","0"
"2020 Groom by-election","Candidate","MEIBUSCH, Christopher John","0","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","ANGEL, Joylene Pearl","0","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","BALDERSTONE, Michael","0","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","BOSI, Riccardo Umberto Guerrino","4591","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","GRIFF, Catherine","0","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","HICKS, Trevor William","0","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","HOLGATE, James Bruce","1505","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","JANSSON, James Anthony","8986","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","KOTVOJS, Fiona","0","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","McBAIN, Kristy Louise","0","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","McCRAE, Dean Malcolm","0","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","PORTER, Karen Michelle","9560","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","POTTER, Jason Andrew","5447","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","STADTMILLER, Matthew Peter","2804","0","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","STOREY, Narelle Beth","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","AAI REDDY, Nikhil Kumar Reddy","15358","0","0","0","0","0","0"
"2019 Federal election","Candidate","ABBOTT, Anthony John","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ABDO, Lynda","4500","0","0","0","0","0","0"
"2019 Federal election","Candidate","ABRAHAMS, David Fraser","22343","0","0","0","0","0","0"
"2019 Federal election","Candidate","ABSOLON, Mark Paul","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ADAMS, Angela Louise","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ADAMS, Anthony Joseph","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ADAMS, Naomi Janine","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ADDINK, Carmela Josephine","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ADRELIUS, Per Helge","4082","0","0","0","0","0","0"
"2019 Federal election","Candidate","AHMED, Mubahil","2850","0","0","0","0","0","0"
"2019 Federal election","Candidate","ALBANESE, Anthony Norman","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ALBARRI, Yassin Akram","3600","0","0","0","0","0","0"
"2019 Federal election","Candidate","ALDRIDGE, Mark Marshall","2500","0","0","0","0","0","0"
"2019 Federal election","Candidate","ALEXANDER, John Gilbert","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ALLAN, Shane Anthony","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ALLEN, Katrina Jane","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ALLWOOD, Sean Philip","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ALY, Anne","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ANDERSON, Chad Clark","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ANDERSON, David Barrett","4000","0","0","0","0","0","0"
"2019 Federal election","Candidate","ANDREWS, Karen Lesley","0","0","0","0","0","0","0"
"2019 Federal election","Candidate","ANDREWS, Kevin James","0","0","0","0","0","0","0"
