"Event","Return Type (Candidate/Senate Group)","Name","Party ID","Party Name","Electorate Name","Electorate State","Nil Return","Amendment No","Total Gift Value","Number Of Donors","Total Electoral Expenditure","Discretionary Benefits Received"
"2020 Groom by-election","Candidate","FARQUHARSON, Craig Stuart","183","Liberal Democratic Party","Groom","QLD","N","0","0","0","5491","0"
"2020 Groom by-election","Candidate","HAMILTON, Garth Russell","211","Liberal National Party of Queensland","Groom","QLD","Y","0","0","0","0","0"
"2020 Groom by-election","Candidate","JEPHCOTT, Sandra Barbara","27917","Sustainable Australia Party - Stop Overdevelopment / Corruption","Groom","QLD","Y","0","0","0","0","0"
"2020 Groom by-election","Candidate","MEIBUSCH, Christopher John","52","Australian Labor Party (State of Queensland)","Groom","QLD","Y","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","ANGEL, Joylene Pearl","27917","Sustainable Australia Party - Stop Overdevelopment / Corruption","Eden-Monaro","NSW","Y","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","BALDERSTONE, Michael","27916","Help End Marijuana Prohibition (HEMP) Party","Eden-Monaro","NSW","Y","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","BOSI, Riccardo Umberto Guerrino","","Independent","Eden-Monaro","NSW","N","0","4090","34","4591","0"
"2020 Eden-Monaro by-election","Candidate","GRIFF, Catherine","97","The Greens NSW","Eden-Monaro","NSW","Y","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","HICKS, Trevor William","37","National Party of Australia - N.S.W.","Eden-Monaro","NSW","Y","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","HOLGATE, James Bruce","","Independent","Eden-Monaro","NSW","N","0","0","0","1505","0"
"2020 Eden-Monaro by-election","Candidate","JANSSON, James Anthony","30414","Science Party","Eden-Monaro","NSW","N","0","0","0","8986","0"
"2020 Eden-Monaro by-election","Candidate","KOTVOJS, Fiona","46","Liberal Party of Australia, NSW Division","Eden-Monaro","NSW","Y","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","McBAIN, Kristy Louise","50","Australian Labor Party (N.S.W. Branch)","Eden-Monaro","NSW","Y","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","McCRAE, Dean Malcolm","183","Liberal Democratic Party","Eden-Monaro","NSW","Y","0","0","0","0","0"
"2020 Eden-Monaro by-election","Candidate","PORTER, Karen Michelle","","Independent","Eden-Monaro","NSW","N","0","9800","25","9560","0"
"2020 Eden-Monaro by-election","Candidate","POTTER, Jason Andrew","28906","Australian Federation Party","Eden-Monaro","NSW","N","0","5549","13","5447","0"
"2020 Eden-Monaro by-election","Candidate","STADTMILLER, Matthew Peter","184","Shooters, Fishers and Farmers Party","Eden-Monaro","NSW","N","0","0","0","2804","34200"
"2020 Eden-Monaro by-election","Candidate","STOREY, Narelle Beth","191","Christian Democratic Party (Fred Nile Group)","Eden-Monaro","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","AAI REDDY, Nikhil Kumar Reddy","154","Pauline Hanson's One Nation","Petrie","QLD","N","0","6301","13","15358","0"
"2019 Federal election","Candidate","ABBOTT, Anthony John","46","Liberal Party of Australia, NSW Division","Warringah","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ABDO, Lynda","38623","United Australia Party","Hume","NSW","N","0","5700","1","4500","0"
"2019 Federal election","Candidate","ABRAHAMS, David Fraser","","Independent","Robertson","NSW","N","0","45856","47","22343","0"
"2019 Federal election","Candidate","ABSOLON, Mark Paul","38662","FRASER ANNING'S CONSERVATIVE NATIONAL PARTY","Queensland","QLD","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ADAMS, Angela Louise","27916","Help End Marijuana Prohibition (HEMP) Party","South Australia","SA","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ADAMS, Anthony Joseph","97","The Greens NSW","Bradfield","NSW","Y","0","0","0","0","0"
"2019 Federal election","Candidate","ADAMS, Naomi Janine","28769","Animal Justice Party","Corangamite","VIC","Y","0","0","0","0","0"
