"Event","Third Party Code","Third Party Name","Broadcasting Cost","Publishing Cost","Display Ad Cost","Direct Mailing","Campaign Material Costs","Opinion Polls"
"2004 Federal Election","T983","ABARE","0","0","0","0","0","0"
"2004 Federal Election","T985","Aboriginal Hostels Ltd","0","0","0","0","0","0"
"2004 Federal Election","T1031","ACT Dept of Education,Youth&Family Serv./Edu&Training Dept.","0","0","0","0","0","0"
"2004 Federal Election","T1085","ACT Forests","0","0","0","0","0","0"
"2004 Federal Election","T977","ACT Gambling & Racing Commission","0","0","0","0","0","0"
"2004 Federal Election","T1057","ACT Health","0","0","0","0","0","0"
"2004 Federal Election","T1029","ACT Workcover","0","0","0","0","0","0"
"2004 Federal Election","T1113","ADI Residents Action Group","0","0","0","3549","0","0"
"2004 Federal Election","T935","Admix Corporation Pty Ltd","0","380","0","0","0","0"
"2004 Federal Election","T995","Aged&Cmnty Serv. SA/NT Inc & Aust NH & Extnd Care Assoc Inc","0","1966","0","0","0","0"
"2004 Federal Election","T1110","Allco Finance Group Ltd","0","0","12400","0","0","0"
"2004 Federal Election","T1039","Anastasia Joyce","0","2917","0","0","0","0"
"2004 Federal Election","T1061","Animals Australia","0","10000","0","0","0","0"
"2004 Federal Election","T978","ARTSACT","0","0","0","0","0","0"
"2004 Federal Election","T796","Association of Independent Schools of SA","29839","50451","0","2100","0","0"
"2004 Federal Election","T856","Association of NT Secondary Education Leaders","387","0","0","0","0","0"
"2004 Federal Election","T864","Association of Parents and Friends of ACT Schools","15999","8561","0","9526","0","0"
"2004 Federal Election","T756","Auspac Group/For PCPA","0","2720","0","0","0","0"
"2004 Federal Election","T967","Australasian Centre for Policing Research","0","0","0","0","0","0"
"2004 Federal Election","T979","Australian Antarctic Division","0","0","0","0","0","0"
"2004 Federal Election","T916","Australian Automobile Association","0","60871","0","0","0","0"
"2004 Federal Election","T833","Australian College of Contemporary Somatic Psychotherapy P/L","0","2948","0","0","0","0"
"2004 Federal Election","T1053","Australian Communications Authority","0","0","0","0","0","0"
"2004 Federal Election","T1049","Australian Competition & Consumer Commission","0","0","0","0","0","0"
"2004 Federal Election","T886","Australian Conservation Foundation Inc (incl. SA Office)","20707","33773","19674","30220","15174","7541"
"2004 Federal Election","T1050","Australian Crime Commission","0","0","0","0","0","0"
"2004 Federal Election","T478","Australian Education Union","507442","89804","0","50096","0","114390"
"2004 Federal Election","T789","Australian Education Union (SA Branch)","20906","0","0","1940","0","0"
"2004 Federal Election","T784","Australian Education Union (Tasmanian Branch)","0","2349","0","0","0","0"
"2004 Federal Election","T802","Australian Education Union (WA Branch)","1245","0","10281","4713","0","0"
"2004 Federal Election","T998","Australian Evangelical Alliance Inc","0","1930","0","0","0","0"
"2004 Federal Election","T1059","Australian Government Solicitor","0","1281","0","0","0","0"
"2004 Federal Election","T19","Australian Health Insurance Assoc. Ltd","0","168642","0","0","1000","27000"
"2004 Federal Election","T1052","Australian Industrial Registry","0","0","0","0","0","0"
"2004 Federal Election","T1109","Australian Institute of Health & Welfare","0","0","0","0","0","0"
"2004 Federal Election","T1086","Australian Nuclear Science & Technology Organisation","0","0","0","0","0","0"
"2004 Federal Election","T1032","Australian Public Service Commission","0","0","0","0","0","0"
"2004 Federal Election","T1062","Australian Strategic Policy Institute","0","19442","0","0","0","0"
"2004 Federal Election","T1047","Australian Trade Commission","0","0","0","0","0","0"
"2004 Federal Election","T1026","Australian Transaction Reports & Analysis Centre","0","0","0","0","0","0"
"2004 Federal Election","T1002","Australians for Just Refugee Programs Inc","0","6492","0","0","0","0"
"2004 Federal Election","T1044","Australians for Refugee Programs","0","32000","0","0","0","0"
"2004 Federal Election","T849","Australians for Tax Justice","0","17223","0","4320","0","0"
"2004 Federal Election","T1000","Bernard Kent Masters","0","0","0","0","0","0"
"2004 Federal Election","T1024","Bush Users Group","7749","0","0","0","0","0"
"2004 Federal Election","T897","C.S. Mollison, Chairman, The Foundation For National Renewal","0","1514","0","0","500","0"
