Label|Party|Branch|DefaultState
#Sustainable Population Party|Sustainable Population Party|National|Active
21st Century Australia|21st Century Australia|National|Active
4Change|4 Change|National|Active
A Better Future for Our Children|A Better Future for Our Children|National|Active
A Better Future For Our Children - NATIONAL|A Better Future for Our Children|National|Active
Abolish Child Support/Family Court Party|Abolish Child Support/Family Court Party|National|Active
Advance Australia Party|Advance Australia Party|National|Active
Advance Australia Party - NATIONAL|Advance Australia Party|National|Active
Animal Justice Party|Animal Justice Party|National|Active
Australia First Party|Australia First Party|National|Active
Australia First Party - NATIONAL|Australia First Party|National|Active
Australia First Party (NSW) Incorporated|Australia First Party|NSW|Active
Australia First Party Incorporated|Australia First Party|National|Active
Australian Bill of Rights Group|Australian Bill of Rights Group|National|Active
Australian Christians|Australian Christians|National|Active
Australian Democrats|Australian Democrats|National|Active
Australian Democrats - ACT Division|Australian Democrats|ACT|Active
Australian Democrats - NATIONAL|Australian Democrats|National|Active
Australian Democrats - National Executive|Australian Democrats|National|Active
Australian Democrats - NSW Division|Australian Democrats|NSW|Active
Australian Democrats - QLD Division Inc|Australian Democrats|QLD|Active
Australian Democrats - SA Division Inc|Australian Democrats|SA|Active
Australian Democrats - TAS Division|Australian Democrats|TAS|Active
Australian Democrats - VIC Division|Australian Democrats|VIC|Active
Australian Democrats - WA Division|Australian Democrats|WA|Active
Australian Democrats ACT Division|Australian Democrats|ACT|Active
Australian Democrats ACT Division - ACT|Australian Democrats|ACT|Active
Australian Democrats NSW Division|Australian Democrats|NSW|Active
Australian Democrats NSW Division - NSW|Australian Democrats|NSW|Active
Australian Democrats Queensland Division|Australian Democrats|QLD|Active
Australian Democrats Queensland Division - QLD|Australian Democrats|QLD|Active
Australian Democrats SA Division|Australian Democrats|SA|Active
Australian Democrats SA Division - SA|Australian Democrats|SA|Active
Australian Democrats Tasmanian Division|Australian Democrats|TAS|Active
Australian Democrats Tasmanian Division - TAS|Australian Democrats|TAS|Active
Australian Democrats Victorian Division|Australian Democrats|VIC|Active
Australian Democrats Victorian Division - VIC|Australian Democrats|VIC|Active
Australian Democrats, Western Australian Division|Australian Democrats|WA|Active
Australian Democrats, Western Australian Division - WA|Australian Democrats|WA|Active
Australian First Nations Political Party|Australian First Nations Political Party|National|Active
Australian Fishing and Lifestyle Party|Australian Fishing and Lifestyle Party|National|Active
Australian Greens|Australian Greens|National|Active
Australian Greens - ACT|Australian Greens|ACT|Active
Australian Greens - NATIONAL|Australian Greens|National|Active
Australian Greens - NT|Australian Greens|NT|Active
Australian Greens - SA|Australian Greens|SA|Active
Australian Greens - TAS|Australian Greens|TAS|Active
Australian Greens (NT Branch)|Australian Greens|NT|Active
Australian Greens (NT Branch) - NT|Australian Greens|NT|Active
Australian Greens (South Australia)|Australian Greens|SA|Active
Australian Greens Queensland Branch|Australian Greens|QLD|Active
Australian Greens SA|Australian Greens|SA|Active
Australian Greens SA - SA|Australian Greens|SA|Active
Australian Greens, Australian Capital Territory Branch|Australian Greens|ACT|Active
Australian Greens, Northern Territory Branch|Australian Greens|NT|Active
Australian Greens, South Australian Branch|Australian Greens|SA|Active
Australian Greens, Tasmanian Branch|Australian Greens|TAS|Active
Australian Greens, Victorian Branch|Australian Greens|VIC|Active
Australian Independents|Australian Indepedents|National|Active
Australian Labor Party - National Secretariat|Australian Labor Party|National|Active
